Date,Spot,Storage,HDD,CDD
2011-01-07,4.42,2960.0,30,0
2011-01-08,4.443333333333333,2925.1428571428573,33,0
2011-01-09,4.466666666666667,2890.285714285714,35,0
2011-01-10,4.49,2855.4285714285716,36,0
2011-01-11,4.42,2820.5714285714284,36,0
2011-01-12,4.55,2785.714285714286,35,0
2011-01-13,4.48,2750.857142857143,35,0
2011-01-14,4.38,2716.0,33,0
2011-01-15,4.415,2691.285714285714,30,0
2011-01-16,4.449999999999999,2666.5714285714284,29,0
2011-01-17,4.484999999999999,2641.8571428571427,28,0
2011-01-18,4.52,2617.1428571428573,26,0
2011-01-19,4.48,2592.4285714285716,26,0
2011-01-20,4.57,2567.714285714286,30,0
2011-01-21,4.72,2543.0,34,0
2011-01-22,4.72,2516.1428571428573,36,0
2011-01-23,4.72,2489.285714285714,36,0
2011-01-24,4.72,2462.4285714285716,35,0
2011-01-25,4.46,2435.5714285714284,30,0
2011-01-26,4.4,2408.714285714286,28,0
2011-01-27,4.41,2381.8571428571427,27,0
2011-01-28,4.27,2355.0,26,0
2011-01-29,4.319999999999999,2324.8571428571427,25,0
2011-01-30,4.37,2294.714285714286,26,0
2011-01-31,4.42,2264.5714285714284,30,0
2011-02-01,4.42,2234.4285714285716,31,0
2011-02-02,4.55,2204.285714285714,33,0
2011-02-03,4.69,2174.1428571428573,37,0
2011-02-04,4.48,2144.0,34,0
2011-02-05,4.426666666666667,2110.5714285714284,29,0
2011-02-06,4.373333333333334,2077.1428571428573,25,0
2011-02-07,4.32,2043.7142857142858,26,0
2011-02-08,4.24,2010.2857142857142,32,0
2011-02-09,4.22,1976.857142857143,37,0
2011-02-10,4.11,1943.4285714285713,38,0
2011-02-11,3.96,1910.0,35,0
2011-02-12,3.9366666666666665,1898.7142857142858,29,0
2011-02-13,3.9133333333333336,1887.4285714285713,23,0
2011-02-14,3.89,1876.142857142857,19,0
2011-02-15,3.92,1864.857142857143,23,0
2011-02-16,3.93,1853.5714285714287,20,0
2011-02-17,3.9,1842.2857142857142,16,0
2011-02-18,3.84,1831.0,14,0
2011-02-19,3.8525,1818.7142857142858,19,0
2011-02-20,3.865,1806.4285714285713,22,0
2011-02-21,3.8775,1794.142857142857,23,1
2011-02-22,3.89,1781.857142857143,26,0
2011-02-23,3.83,1769.5714285714287,26,0
2011-02-24,3.83,1757.2857142857142,24,1
2011-02-25,3.81,1745.0,24,0
2011-02-26,3.85,1734.5714285714287,26,0
2011-02-27,3.89,1724.142857142857,21,1
2011-02-28,3.93,1713.7142857142858,19,1
2011-03-01,3.93,1703.2857142857142,22,0
2011-03-02,3.79,1692.857142857143,22,0
2011-03-03,3.75,1682.4285714285713,23,0
2011-03-04,3.7,1672.0,20,0
2011-03-05,3.71,1664.0,18,0
2011-03-06,3.72,1656.0,20,0
2011-03-07,3.73,1648.0,23,0
2011-03-08,3.83,1640.0,21,0
2011-03-09,3.81,1632.0,19,0
2011-03-10,3.87,1624.0,18,0
2011-03-11,3.78,1616.0,19,0
2011-03-12,3.82,1615.2857142857142,17,0
2011-03-13,3.86,1614.5714285714287,17,0
2011-03-14,3.9,1613.857142857143,18,0
2011-03-15,3.81,1613.142857142857,18,0
2011-03-16,3.86,1612.4285714285713,15,0
2011-03-17,3.85,1611.7142857142858,11,1
2011-03-18,3.98,1611.0,10,1
2011-03-19,3.9833333333333334,1612.5714285714287,14,1
2011-03-20,3.986666666666667,1614.142857142857,15,1
2011-03-21,3.99,1615.7142857142858,13,1
2011-03-22,4.05,1617.2857142857142,13,1
2011-03-23,4.18,1618.857142857143,16,1
2011-03-24,4.27,1620.4285714285713,20,1
2011-03-25,4.13,1622.0,22,1
2011-03-26,4.203333333333333,1615.7142857142858,23,1
2011-03-27,4.276666666666666,1609.4285714285713,23,1
2011-03-28,4.35,1603.142857142857,22,0
2011-03-29,4.27,1596.857142857143,20,1
2011-03-30,4.25,1590.5714285714287,19,1
2011-03-31,4.32,1584.2857142857142,17,1
2011-04-01,4.32,1578.0,16,1
2011-04-02,4.283333333333333,1582.0,14,1
2011-04-03,4.246666666666667,1586.0,12,1
2011-04-04,4.21,1590.0,10,1
2011-04-05,4.22,1594.0,13,1
2011-04-06,4.17,1598.0,14,0
2011-04-07,4.12,1602.0,13,1
2011-04-08,4.05,1606.0,13,2
2011-04-09,4.05,1612.857142857143,11,3
2011-04-10,4.05,1619.7142857142858,8,3
2011-04-11,4.05,1626.5714285714287,6,3
2011-04-12,4.08,1633.4285714285713,9,1
2011-04-13,4.14,1640.2857142857142,11,1
2011-04-14,4.12,1647.142857142857,10,1
2011-04-15,4.21,1654.0,12,1
2011-04-16,4.216666666666667,1658.4285714285713,12,1
2011-04-17,4.223333333333334,1662.857142857143,11,1
2011-04-18,4.23,1667.2857142857142,11,1
2011-04-19,4.19,1671.7142857142858,10,3
2011-04-20,4.33,1676.142857142857,10,3
2011-04-21,4.33,1680.5714285714287,11,2
2011-04-22,4.34,1685.0,12,2
2011-04-23,4.35,1695.2857142857142,9,3
2011-04-24,4.36,1705.5714285714287,7,3
2011-04-25,4.37,1715.857142857143,6,3
2011-04-26,4.32,1726.142857142857,5,3
2011-04-27,4.35,1736.4285714285713,5,4
2011-04-28,4.38,1746.7142857142858,7,2
2011-04-29,4.51,1757.0,8,1
2011-04-30,4.54,1767.0,8,1
2011-05-01,4.569999999999999,1777.0,8,2
2011-05-02,4.6,1787.0,9,2
2011-05-03,4.6,1797.0,8,2
2011-05-04,4.59,1807.0,10,1
2011-05-05,4.49,1817.0,9,1
2011-05-06,4.24,1827.0,7,1
2011-05-07,4.253333333333334,1840.142857142857,6,2
2011-05-08,4.266666666666667,1853.2857142857142,6,3
2011-05-09,4.28,1866.4285714285713,5,4
2011-05-10,4.19,1879.5714285714287,4,5
2011-05-11,4.23,1892.7142857142858,4,5
2011-05-12,4.1,1905.857142857143,3,5
2011-05-13,4.09,1919.0,4,4
2011-05-14,4.13,1933.857142857143,6,2
2011-05-15,4.17,1948.7142857142858,8,1
2011-05-16,4.21,1963.5714285714287,9,1
2011-05-17,4.25,1978.4285714285713,9,1
2011-05-18,4.15,1993.2857142857142,7,1
2011-05-19,4.1,2008.142857142857,5,2
2011-05-20,4.05,2023.0,3,3
2011-05-21,4.123333333333333,2035.0,2,4
2011-05-22,4.196666666666666,2047.0,3,6
2011-05-23,4.27,2059.0,3,6
2011-05-24,4.37,2071.0,2,6
2011-05-25,4.36,2083.0,3,6
2011-05-26,4.37,2095.0,4,5
2011-05-27,4.36,2107.0,4,5
2011-05-28,4.4275,2118.5714285714284,3,6
2011-05-29,4.495,2130.1428571428573,3,8
2011-05-30,4.5625,2141.714285714286,2,10
2011-05-31,4.63,2153.285714285714,2,10
2011-06-01,4.62,2164.8571428571427,2,9
2011-06-02,4.64,2176.4285714285716,2,7
2011-06-03,4.72,2188.0,3,7
2011-06-04,4.756666666666667,2197.8571428571427,2,8
2011-06-05,4.793333333333333,2207.714285714286,2,8
2011-06-06,4.83,2217.5714285714284,1,9
2011-06-07,4.83,2227.4285714285716,1,10
2011-06-08,4.83,2237.285714285714,1,11
2011-06-09,4.92,2247.1428571428573,1,10
2011-06-10,4.72,2257.0,2,9
2011-06-11,4.7299999999999995,2270.8571428571427,2,7
2011-06-12,4.74,2284.714285714286,2,7
2011-06-13,4.75,2298.5714285714284,1,6
2011-06-14,4.59,2312.4285714285716,2,7
2011-06-15,4.53,2326.285714285714,1,7
2011-06-16,4.54,2340.1428571428573,1,7
2011-06-17,4.39,2354.0,1,8
2011-06-18,4.37,2365.1428571428573,1,9
2011-06-19,4.35,2376.285714285714,1,9
2011-06-20,4.33,2387.4285714285716,1,9
2011-06-21,4.37,2398.5714285714284,0,11
2011-06-22,4.42,2409.714285714286,0,10
2011-06-23,4.31,2420.8571428571427,1,9
2011-06-24,4.2,2432.0,1,8
2011-06-25,4.216666666666667,2445.4285714285716,1,8
2011-06-26,4.233333333333333,2458.8571428571427,0,8
2011-06-27,4.25,2472.285714285714,0,10
2011-06-28,4.34,2485.714285714286,0,10
2011-06-29,4.4,2499.1428571428573,0,9
2011-06-30,4.28,2512.5714285714284,0,9
2011-07-01,4.33,2526.0,0,10
2011-07-02,4.3475,2538.1428571428573,0,12
2011-07-03,4.365,2550.285714285714,0,12
2011-07-04,4.3825,2562.4285714285716,0,12
2011-07-05,4.4,2574.5714285714284,0,12
2011-07-06,4.34,2586.714285714286,0,13
