,Contract,Last,Change,Open,High,Low,Volume,Previous Settle,Month
1,Cash (NGY00),2.737,+0.071,0.000,2.737,2.737,0,2.666,Cash
2,Feb '21 (NGG21),2.753,+0.087,2.672,2.800,2.636,145361,2.666,Feb
3,Mar '21 (NGH21),2.708,+0.078,2.636,2.748,2.606,83483,2.630,Mar
4,Apr '21 (NGJ21),2.709,+0.076,2.640,2.741,2.615,50343,2.633,Apr
5,May '21 (NGK21),2.739,+0.078,2.669,2.764,2.647,26542,2.661,May
6,Jun '21 (NGM21),2.795,+0.068,2.735,2.828,2.713,18248,2.727,Jun
7,Jul '21 (NGN21),2.865,+0.063,2.805,2.897,2.787,16595,2.802,Jul
8,Aug '21 (NGQ21),2.883,+0.060,2.830,2.913,2.808,6246,2.823,Aug
9,Sep '21 (NGU21),2.870,+0.059,2.817,2.898,2.795,5810,2.811,Sep
10,Oct '21 (NGV21),2.892,+0.063,2.833,2.917,2.816,17514,2.829,Oct
11,Nov '21 (NGX21),2.948,+0.061,2.886,2.964,2.874,4721,2.887,Nov
12,Dec '21 (NGZ21),3.068,+0.054,3.023,3.085,3.001,3921,3.014,Dec
13,Jan '22 (NGF22),3.157,+0.054,3.108,3.172,3.090,4697,3.103,Jan
14,Feb '22 (NGG22),3.090,+0.047,3.076,3.108,3.072,2090,3.043,Feb
15,Mar '22 (NGH22),2.937,+0.038,2.936,2.950,2.891,3458,2.899,Mar
16,Apr '22 (NGJ22),2.556,-0.001,2.585,2.590,2.548,2793,2.557,Apr
17,May '22 (NGK22),2.490,-0.010,2.526,2.534,2.490,642,2.500,May
18,Jun '22 (NGM22),2.511,-0.011,2.550,2.565,2.511,214,2.522,Jun
19,Jul '22 (NGN22),2.553,+0.001,2.550,2.585,2.539,165,2.552,Jul
20,Aug '22 (NGQ22),2.554,-0.006,2.566,2.575,2.546,113,2.560,Aug
21,Sep '22 (NGU22),2.535,-0.015,2.575,2.585,2.535,44,2.550,Sep
22,Oct '22 (NGV22),2.564,-0.014,2.604,2.614,2.563,1125,2.578,Oct
23,Nov '22 (NGX22),2.621,-0.013,2.618,2.639,2.618,1021,2.634,Nov
24,Dec '22 (NGZ22),2.767,-0.008,2.756,2.767,2.756,9,2.775,Dec
25,Jan '23 (NGF23),2.871,+0.002,2.859,2.871,2.859,7,2.869,Jan
26,Feb '23 (NGG23),2.820,+0.002,2.820,2.820,2.820,29,2.818,Feb
27,Mar '23 (NGH23),2.677,+0.002,2.677,2.677,2.666,1,2.675,Mar
