Date,m1,m2,m3,m4
1/7/2010,5.81,5.76,5.7,5.74
1/8/2010,5.75,5.71,5.66,5.71
1/11/2010,5.45,5.43,5.41,5.46
1/12/2010,5.59,5.55,5.52,5.57
1/13/2010,5.73,5.7,5.67,5.71
1/14/2010,5.59,5.57,5.54,5.59
1/15/2010,5.69,5.67,5.64,5.69
1/19/2010,5.56,5.54,5.5,5.55
1/20/2010,5.5,5.47,5.44,5.49
1/21/2010,5.62,5.57,5.53,5.58
1/22/2010,5.82,5.75,5.69,5.72
1/25/2010,5.72,5.66,5.62,5.65
1/26/2010,5.49,5.43,5.41,5.46
1/27/2010,5.27,5.22,5.21,5.26
1/28/2010,5.14,5.13,5.18,5.25
1/29/2010,5.13,5.12,5.17,5.24
2/1/2010,5.43,5.41,5.45,5.52
2/2/2010,5.45,5.43,5.48,5.55
2/3/2010,5.42,5.39,5.44,5.51
2/4/2010,5.42,5.38,5.43,5.5
2/5/2010,5.52,5.48,5.54,5.6
2/8/2010,5.4,5.37,5.43,5.5
2/9/2010,5.29,5.27,5.33,5.41
2/10/2010,5.29,5.28,5.34,5.42
2/11/2010,5.4,5.38,5.44,5.52
2/12/2010,5.47,5.45,5.5,5.56
2/16/2010,5.31,5.3,5.36,5.43
2/17/2010,5.39,5.36,5.42,5.48
2/18/2010,5.17,5.16,5.23,5.3
2/19/2010,5.04,5.06,5.12,5.19
2/22/2010,4.9,4.91,4.98,5.05
2/23/2010,4.78,4.81,4.88,4.95
2/24/2010,4.82,4.86,4.93,5.01
2/25/2010,4.77,4.83,4.91,4.99
2/26/2010,4.81,4.88,4.96,5.04
3/1/2010,4.68,4.75,4.83,4.91
3/2/2010,4.71,4.78,4.85,4.93
3/3/2010,4.76,4.82,4.89,4.98
3/4/2010,4.58,4.64,4.72,4.81
3/5/2010,4.59,4.66,4.73,4.82
3/8/2010,4.53,4.59,4.66,4.75
3/9/2010,4.52,4.58,4.64,4.74
3/10/2010,4.56,4.62,4.7,4.79
3/11/2010,4.44,4.51,4.58,4.67
3/12/2010,4.4,4.47,4.54,4.63
3/15/2010,4.39,4.47,4.54,4.64
3/16/2010,4.35,4.42,4.49,4.59
3/17/2010,4.3,4.37,4.44,4.53
3/18/2010,4.09,4.15,4.23,4.32
3/19/2010,4.17,4.23,4.3,4.39
3/22/2010,4.08,4.15,4.21,4.3
3/23/2010,4.13,4.19,4.26,4.35
3/24/2010,4.11,4.15,4.22,4.31
3/25/2010,3.98,4.03,4.1,4.2
3/26/2010,3.87,3.93,4.01,4.1
3/29/2010,3.84,4,4.1,4.17
3/30/2010,3.97,4.06,4.17,4.24
3/31/2010,3.87,3.97,4.08,4.16
4/1/2010,4.09,4.18,4.29,4.37
4/5/2010,4.28,4.37,4.49,4.58
4/6/2010,4.15,4.23,4.31,4.5
4/7/2010,4.02,4.11,4.23,4.33
4/8/2010,3.91,4.01,4.14,4.23
4/9/2010,4.07,4.17,4.31,4.41
4/12/2010,4.01,4.11,4.25,4.35
4/13/2010,4.16,4.25,4.38,4.47
4/14/2010,4.2,4.3,4.42,4.5
4/15/2010,3.99,4.07,4.19,4.27
4/16/2010,4.04,4.13,4.24,4.33
4/19/2010,3.94,4.03,4.15,4.24
4/20/2010,3.98,4.06,4.19,4.28
4/21/2010,3.96,4.04,4.17,4.27
4/22/2010,4.13,4.22,4.33,4.43
4/23/2010,4.26,4.34,4.45,4.54
4/26/2010,4.26,4.35,4.47,4.56
4/27/2010,4.22,4.32,4.44,4.53
4/28/2010,4.27,4.35,4.47,4.57
4/29/2010,3.98,4.11,4.22,4.28
4/30/2010,3.92,4.05,4.15,4.22
5/3/2010,4,4.13,4.23,4.3
5/4/2010,4.01,4.13,4.24,4.31
5/5/2010,3.99,4.11,4.21,4.28
5/6/2010,3.93,4.04,4.14,4.22
5/7/2010,4.02,4.12,4.22,4.3
5/10/2010,4.17,4.27,4.36,4.43
5/11/2010,4.13,4.23,4.31,4.38
5/12/2010,4.28,4.39,4.46,4.52
5/13/2010,4.34,4.44,4.51,4.56
5/14/2010,4.31,4.41,4.48,4.53
5/17/2010,4.4,4.49,4.56,4.61
5/18/2010,4.34,4.44,4.51,4.56
5/19/2010,4.16,4.25,4.32,4.38
5/20/2010,4.11,4.19,4.26,4.32
5/21/2010,4.04,4.11,4.18,4.24
5/24/2010,4.02,4.08,4.15,4.21
5/25/2010,4.05,4.11,4.19,4.24
5/26/2010,4.16,4.18,4.25,4.31
5/27/2010,4.29,4.37,4.42,4.53
5/28/2010,4.34,4.41,4.46,4.57
6/1/2010,4.25,4.32,4.37,4.48
6/2/2010,4.42,4.48,4.53,4.63
6/3/2010,4.69,4.74,4.77,4.84
6/4/2010,4.8,4.84,4.86,4.94
6/7/2010,4.92,4.97,5.01,5.08
6/8/2010,4.81,4.87,4.92,5
6/9/2010,4.68,4.74,4.79,4.88
6/10/2010,4.65,4.71,4.76,4.84
6/11/2010,4.78,4.83,4.88,4.96
6/14/2010,5.01,5.06,5.1,5.17
