,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Coal,0.423,0.374,0.389,0.386,0.332,0.304,0.299,0.275,0.234,0.188
Petroleum Liquids,0.004,0.003,0.003,0.004,0.004,0.003,0.003,0.004,0.003,0.002
Petroleum Coke,0.003,0.002,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002
Natural Gas,0.247,0.303,0.277,0.275,0.327,0.338,0.321,0.352,0.384,0.411
Other Gas,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
Nuclear,0.193,0.190,0.194,0.195,0.196,0.198,0.200,0.193,0.196,0.196
Hydroelectric,0.078,0.068,0.066,0.063,0.061,0.066,0.074,0.070,0.070,0.073
Solar,0.000,0.001,0.002,0.004,0.006,0.009,0.013,0.015,0.017,0.023
Other Renewables,0.047,0.053,0.060,0.064,0.066,0.075,0.083,0.084,0.089,0.099
Other,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
