Date,CONUS
1/7/2011,2960
1/14/2011,2716
1/21/2011,2543
1/28/2011,2355
2/4/2011,2144
2/11/2011,1910
2/18/2011,1831
2/25/2011,1745
3/4/2011,1672
3/11/2011,1616
3/18/2011,1611
3/25/2011,1622
4/1/2011,1578
4/8/2011,1606
4/15/2011,1654
4/22/2011,1685
4/29/2011,1757
5/6/2011,1827
5/13/2011,1919
5/20/2011,2023
5/27/2011,2107
6/3/2011,2188
6/10/2011,2257
6/17/2011,2354
6/24/2011,2432
7/1/2011,2526
7/8/2011,2611
7/15/2011,2671
7/22/2011,2714
7/29/2011,2759
8/5/2011,2783
8/12/2011,2833
8/19/2011,2906
8/26/2011,2960
9/2/2011,3025
9/9/2011,3110
9/16/2011,3201
9/23/2011,3311
9/30/2011,3408
10/7/2011,3521
10/14/2011,3624
10/21/2011,3717
10/28/2011,3793
11/4/2011,3830
11/11/2011,3844
11/18/2011,3853
11/25/2011,3850
12/2/2011,3830
12/9/2011,3729
12/16/2011,3628
12/23/2011,3548
12/30/2011,3471
1/6/2012,3377
1/13/2012,3290
1/20/2012,3098
1/27/2012,2966
2/3/2012,2888
2/10/2012,2761
2/17/2012,2595
2/24/2012,2513
3/2/2012,2433
3/9/2012,2369
3/16/2012,2380
3/23/2012,2429
3/30/2012,2472
4/6/2012,2478
4/13/2012,2503
4/20/2012,2546
4/27/2012,2576
5/4/2012,2606
5/11/2012,2667
5/18/2012,2744
5/25/2012,2815
6/1/2012,2877
6/8/2012,2944
6/15/2012,3006
6/22/2012,3063
6/29/2012,3102
7/6/2012,3135
7/13/2012,3163
7/20/2012,3190
7/27/2012,3217
8/3/2012,3240
8/10/2012,3261
8/17/2012,3308
8/24/2012,3374
8/31/2012,3402
9/7/2012,3429
9/14/2012,3496
9/21/2012,3576
9/28/2012,3654
10/5/2012,3726
10/12/2012,3776
10/19/2012,3843
10/26/2012,3907
11/2/2012,3928
11/9/2012,3910
11/16/2012,3873
11/23/2012,3876
11/30/2012,3804
12/7/2012,3806
12/14/2012,3724
12/21/2012,3653
12/28/2012,3517
1/4/2013,3316
1/11/2013,3167
1/18/2013,2996
1/25/2013,2802
2/1/2013,2684
2/8/2013,2526
2/15/2013,2400
2/22/2013,2229
3/1/2013,2082
3/8/2013,1938
3/15/2013,1876
3/22/2013,1781
3/29/2013,1687
4/5/2013,1674
4/12/2013,1705
4/19/2013,1734
4/26/2013,1776
5/3/2013,1866
5/10/2013,1964
5/17/2013,2052
5/24/2013,2142
5/31/2013,2252
6/7/2013,2347
6/14/2013,2439
6/21/2013,2533
6/28/2013,2606
7/5/2013,2687
7/12/2013,2745
7/19/2013,2786
7/26/2013,2845
8/2/2013,2940
8/9/2013,3007
8/16/2013,3063
8/23/2013,3131
8/30/2013,3189
9/6/2013,3253
9/13/2013,3299
9/20/2013,3385
9/27/2013,3487
10/4/2013,3577
10/11/2013,3655
10/18/2013,3741
10/25/2013,3779
11/1/2013,3816
11/8/2013,3834
11/15/2013,3789
11/22/2013,3775
11/29/2013,3613
12/6/2013,3533
12/13/2013,3248
12/20/2013,3071
12/27/2013,2975
1/3/2014,2817
1/10/2014,2529
1/17/2014,2424
1/24/2014,2184
1/31/2014,1924
2/7/2014,1693
2/14/2014,1444
2/21/2014,1348
2/28/2014,1196
3/7/2014,1002
3/14/2014,953
3/21/2014,895
3/28/2014,824
4/4/2014,827
4/11/2014,850
4/18/2014,899
4/25/2014,981
5/2/2014,1055
5/9/2014,1160
5/16/2014,1267
5/23/2014,1380
5/30/2014,1499
6/6/2014,1607
6/13/2014,1719
6/20/2014,1829
6/27/2014,1928
7/4/2014,2023
7/11/2014,2128
7/18/2014,2219
7/25/2014,2307
8/1/2014,2388
8/8/2014,2467
8/15/2014,2555
8/22/2014,2631
8/29/2014,2709
9/5/2014,2801
9/12/2014,2890
9/19/2014,2988
9/26/2014,3099
10/3/2014,3205
10/10/2014,3298
10/17/2014,3393
10/24/2014,3480
10/31/2014,3571
11/7/2014,3611
11/14/2014,3594
11/21/2014,3432
11/28/2014,3410
12/5/2014,3359
12/12/2014,3296
12/19/2014,3246
12/26/2014,3220
1/2/2015,3089
1/9/2015,2854
1/16/2015,2637
1/23/2015,2543
1/30/2015,2428
2/6/2015,2268
2/13/2015,2158
2/20/2015,1938
2/27/2015,1709
3/6/2015,1511
3/13/2015,1468
3/20/2015,1479
3/27/2015,1461
4/3/2015,1476
4/10/2015,1539
4/17/2015,1628
4/24/2015,1711
5/1/2015,1785
5/8/2015,1897
5/15/2015,1989
5/22/2015,2101
5/29/2015,2233
6/5/2015,2344
6/12/2015,2433
6/19/2015,2506
6/26/2015,2579
7/3/2015,2666
7/10/2015,2764
7/17/2015,2823
7/24/2015,2872
7/31/2015,2910
8/7/2015,2975
8/14/2015,3027
8/21/2015,3094
8/28/2015,3190
9/4/2015,3262
9/11/2015,3336
9/18/2015,3441
9/25/2015,3537
10/2/2015,3634
10/9/2015,3731
10/16/2015,3813
10/23/2015,3875
10/30/2015,3931
11/6/2015,3985
11/13/2015,4000
11/20/2015,4009
11/27/2015,3956
12/4/2015,3880
12/11/2015,3846
12/18/2015,3814
12/25/2015,3756
1/1/2016,3643
1/8/2016,3475
1/15/2016,3297
1/22/2016,3086
1/29/2016,2934
2/5/2016,2864
2/12/2016,2701
2/19/2016,2584
2/26/2016,2536
3/4/2016,2479
3/11/2016,2478
3/18/2016,2493
3/25/2016,2468
4/1/2016,2480
4/8/2016,2477
4/15/2016,2484
4/22/2016,2557
4/29/2016,2625
5/6/2016,2681
5/13/2016,2754
5/20/2016,2825
5/27/2016,2907
6/3/2016,2972
6/10/2016,3041
6/17/2016,3103
6/24/2016,3140
7/1/2016,3179
7/8/2016,3243
7/15/2016,3277
7/22/2016,3294
7/29/2016,3288
8/5/2016,3317
8/12/2016,3339
8/19/2016,3350
8/26/2016,3401
9/2/2016,3437
9/9/2016,3499
9/16/2016,3551
9/23/2016,3600
9/30/2016,3680
10/7/2016,3759
10/14/2016,3836
10/21/2016,3909
10/28/2016,3963
11/4/2016,4017
11/11/2016,4047
11/18/2016,4045
11/25/2016,3995
12/2/2016,3953
12/9/2016,3806
12/16/2016,3597
12/23/2016,3360
12/30/2016,3311
1/6/2017,3160
1/13/2017,2917
1/20/2017,2798
1/27/2017,2711
2/3/2017,2559
2/10/2017,2445
2/17/2017,2356
2/24/2017,2363
3/3/2017,2295
3/10/2017,2242
3/17/2017,2092
3/24/2017,2049
3/31/2017,2051
4/7/2017,2061
4/14/2017,2115
4/21/2017,2189
4/28/2017,2256
5/5/2017,2301
5/12/2017,2369
5/19/2017,2444
5/26/2017,2525
6/2/2017,2631
6/9/2017,2709
6/16/2017,2770
6/23/2017,2816
6/30/2017,2878
7/7/2017,2936
7/14/2017,2963
7/21/2017,2980
7/28/2017,2999
8/4/2017,3029
8/11/2017,3082
8/18/2017,3125
8/25/2017,3155
9/1/2017,3220
9/8/2017,3311
9/15/2017,3408
9/22/2017,3466
9/29/2017,3508
10/6/2017,3595
10/13/2017,3645
10/20/2017,3710
10/27/2017,3775
11/3/2017,3790
11/10/2017,3772
11/17/2017,3726
11/24/2017,3693
12/1/2017,3695
12/8/2017,3626
12/15/2017,3444
12/22/2017,3332
12/29/2017,3126
1/5/2018,2767
1/12/2018,2584
1/19/2018,2296
1/26/2018,2197
2/2/2018,2078
2/9/2018,1884
2/16/2018,1760
2/23/2018,1682
3/2/2018,1625
3/9/2018,1532
3/16/2018,1446
3/23/2018,1383
3/30/2018,1354
4/6/2018,1335
4/13/2018,1299
4/20/2018,1281
4/27/2018,1343
5/4/2018,1432
5/11/2018,1538
5/18/2018,1629
5/25/2018,1725
6/1/2018,1817
6/8/2018,1913
6/15/2018,2008
6/22/2018,2074
6/29/2018,2152
7/6/2018,2203
7/13/2018,2248
7/20/2018,2272
7/27/2018,2305
8/3/2018,2353
8/10/2018,2386
8/17/2018,2435
8/24/2018,2504
8/31/2018,2567
9/7/2018,2636
9/14/2018,2722
9/21/2018,2768
9/28/2018,2866
10/5/2018,2956
10/12/2018,3037
10/19/2018,3095
10/26/2018,3143
11/2/2018,3208
11/9/2018,3247
11/16/2018,3113
11/23/2018,3054
11/30/2018,2991
12/7/2018,2914
12/14/2018,2773
12/21/2018,2725
12/28/2018,2705
1/4/2019,2614
1/11/2019,2533
1/18/2019,2370
1/25/2019,2197
2/1/2019,1960
2/8/2019,1882
2/15/2019,1705
2/22/2019,1539
3/1/2019,1390
3/8/2019,1190
3/15/2019,1143
3/22/2019,1107
3/29/2019,1130
4/5/2019,1155
4/12/2019,1247
4/19/2019,1339
4/26/2019,1462
5/3/2019,1547
5/10/2019,1653
5/17/2019,1753
5/24/2019,1867
5/31/2019,1986
6/7/2019,2088
6/14/2019,2203
6/21/2019,2301
6/28/2019,2390
7/5/2019,2471
7/12/2019,2533
7/19/2019,2569
7/26/2019,2634
8/2/2019,2689
8/9/2019,2738
8/16/2019,2797
