Date,HDD,CDD
1/7/2011,30,0
1/8/2011,33,0
1/9/2011,35,0
1/10/2011,36,0
1/11/2011,36,0
1/12/2011,35,0
1/13/2011,35,0
1/14/2011,33,0
1/15/2011,30,0
1/16/2011,29,0
1/17/2011,28,0
1/18/2011,26,0
1/19/2011,26,0
1/20/2011,30,0
1/21/2011,34,0
1/22/2011,36,0
1/23/2011,36,0
1/24/2011,35,0
1/25/2011,30,0
1/26/2011,28,0
1/27/2011,27,0
1/28/2011,26,0
1/29/2011,25,0
1/30/2011,26,0
1/31/2011,30,0
2/1/2011,31,0
2/2/2011,33,0
2/3/2011,37,0
2/4/2011,34,0
2/5/2011,29,0
2/6/2011,25,0
2/7/2011,26,0
2/8/2011,32,0
2/9/2011,37,0
2/10/2011,38,0
2/11/2011,35,0
2/12/2011,29,0
2/13/2011,23,0
2/14/2011,19,0
2/15/2011,23,0
2/16/2011,20,0
2/17/2011,16,0
2/18/2011,14,0
2/19/2011,19,0
2/20/2011,22,0
2/21/2011,23,1
2/22/2011,26,0
2/23/2011,26,0
2/24/2011,24,1
2/25/2011,24,0
2/26/2011,26,0
2/27/2011,21,1
2/28/2011,19,1
3/1/2011,22,0
3/2/2011,22,0
3/3/2011,23,0
3/4/2011,20,0
3/5/2011,18,0
3/6/2011,20,0
3/7/2011,23,0
3/8/2011,21,0
3/9/2011,19,0
3/10/2011,18,0
3/11/2011,19,0
3/12/2011,17,0
3/13/2011,17,0
3/14/2011,18,0
3/15/2011,18,0
3/16/2011,15,0
3/17/2011,11,1
3/18/2011,10,1
3/19/2011,14,1
3/20/2011,15,1
3/21/2011,13,1
3/22/2011,13,1
3/23/2011,16,1
3/24/2011,20,1
3/25/2011,22,1
3/26/2011,23,1
3/27/2011,23,1
3/28/2011,22,0
3/29/2011,20,1
3/30/2011,19,1
3/31/2011,17,1
4/1/2011,16,1
4/2/2011,14,1
4/3/2011,12,1
4/4/2011,10,1
4/5/2011,13,1
4/6/2011,14,0
4/7/2011,13,1
4/8/2011,13,2
4/9/2011,11,3
4/10/2011,8,3
4/11/2011,6,3
4/12/2011,9,1
4/13/2011,11,1
4/14/2011,10,1
4/15/2011,12,1
4/16/2011,12,1
4/17/2011,11,1
4/18/2011,11,1
4/19/2011,10,3
4/20/2011,10,3
4/21/2011,11,2
4/22/2011,12,2
4/23/2011,9,3
4/24/2011,7,3
4/25/2011,6,3
4/26/2011,5,3
4/27/2011,5,4
4/28/2011,7,2
4/29/2011,8,1
4/30/2011,8,1
5/1/2011,8,2
5/2/2011,9,2
5/3/2011,8,2
5/4/2011,10,1
5/5/2011,9,1
5/6/2011,7,1
5/7/2011,6,2
5/8/2011,6,3
5/9/2011,5,4
5/10/2011,4,5
5/11/2011,4,5
5/12/2011,3,5
5/13/2011,4,4
5/14/2011,6,2
5/15/2011,8,1
5/16/2011,9,1
5/17/2011,9,1
5/18/2011,7,1
5/19/2011,5,2
5/20/2011,3,3
5/21/2011,2,4
5/22/2011,3,6
5/23/2011,3,6
5/24/2011,2,6
5/25/2011,3,6
5/26/2011,4,5
5/27/2011,4,5
5/28/2011,3,6
5/29/2011,3,8
5/30/2011,2,10
5/31/2011,2,10
6/1/2011,2,9
6/2/2011,2,7
6/3/2011,3,7
6/4/2011,2,8
6/5/2011,2,8
6/6/2011,1,9
6/7/2011,1,10
6/8/2011,1,11
6/9/2011,1,10
6/10/2011,2,9
6/11/2011,2,7
6/12/2011,2,7
6/13/2011,1,6
6/14/2011,2,7
6/15/2011,1,7
6/16/2011,1,7
6/17/2011,1,8
6/18/2011,1,9
6/19/2011,1,9
6/20/2011,1,9
6/21/2011,0,11
6/22/2011,0,10
6/23/2011,1,9
6/24/2011,1,8
6/25/2011,1,8
6/26/2011,0,8
6/27/2011,0,10
6/28/2011,0,10
6/29/2011,0,9
6/30/2011,0,9
7/1/2011,0,10
7/2/2011,0,12
7/3/2011,0,12
7/4/2011,0,12
7/5/2011,0,12
7/6/2011,0,13
7/7/2011,0,12
7/8/2011,0,12
7/9/2011,0,12
7/10/2011,0,12
7/11/2011,0,13
7/12/2011,0,14
7/13/2011,0,12
7/14/2011,0,9
7/15/2011,0,9
7/16/2011,0,11
7/17/2011,0,12
7/18/2011,0,14
7/19/2011,0,15
7/20/2011,0,15
7/21/2011,0,16
7/22/2011,0,17
7/23/2011,0,16
7/24/2011,0,15
7/25/2011,0,13
7/26/2011,0,13
7/27/2011,0,12
7/28/2011,0,13
7/29/2011,0,14
7/30/2011,0,15
7/31/2011,0,14
8/1/2011,0,15
8/2/2011,0,15
8/3/2011,0,14
8/4/2011,0,13
8/5/2011,0,13
8/6/2011,0,13
8/7/2011,0,14
8/8/2011,0,13
8/9/2011,0,12
8/10/2011,0,10
8/11/2011,0,9
8/12/2011,0,9
8/13/2011,0,10
8/14/2011,0,9
8/15/2011,0,9
8/16/2011,0,9
8/17/2011,0,10
8/18/2011,0,11
8/19/2011,0,11
8/20/2011,0,11
8/21/2011,0,11
8/22/2011,0,10
8/23/2011,0,10
8/24/2011,0,11
8/25/2011,0,11
8/26/2011,0,12
8/27/2011,0,12
8/28/2011,0,11
8/29/2011,0,9
8/30/2011,0,8
8/31/2011,0,10
9/1/2011,0,11
9/2/2011,0,11
9/3/2011,0,11
9/4/2011,0,9
9/5/2011,1,7
9/6/2011,2,5
9/7/2011,2,5
9/8/2011,1,5
9/9/2011,0,6
9/10/2011,0,6
9/11/2011,0,6
9/12/2011,0,7
9/13/2011,1,8
9/14/2011,2,7
9/15/2011,5,5
9/16/2011,7,3
9/17/2011,6,3
9/18/2011,4,4
9/19/2011,3,4
9/20/2011,2,4
9/21/2011,1,5
9/22/2011,2,6
9/23/2011,2,5
9/24/2011,2,5
9/25/2011,2,5
9/26/2011,2,5
9/27/2011,2,6
9/28/2011,2,6
9/29/2011,2,6
9/30/2011,3,4
10/1/2011,7,2
10/2/2011,8,2
10/3/2011,7,1
10/4/2011,6,1
10/5/2011,5,1
10/6/2011,6,2
10/7/2011,6,3
10/8/2011,4,3
10/9/2011,3,2
10/10/2011,3,2
10/11/2011,3,2
10/12/2011,4,3
10/13/2011,4,3
10/14/2011,4,2
10/15/2011,6,2
10/16/2011,6,2
10/17/2011,6,2
10/18/2011,8,2
10/19/2011,10,1
10/20/2011,11,0
10/21/2011,11,0
10/22/2011,10,1
10/23/2011,10,1
10/24/2011,9,1
10/25/2011,9,1
10/26/2011,10,1
10/27/2011,12,1
10/28/2011,16,0
10/29/2011,17,1
10/30/2011,17,0
10/31/2011,15,0
11/1/2011,14,0
11/2/2011,13,1
11/3/2011,15,0
11/4/2011,18,0
11/5/2011,19,0
11/6/2011,16,0
11/7/2011,14,1
11/8/2011,12,1
11/9/2011,13,0
11/10/2011,16,0
11/11/2011,19,0
11/12/2011,17,0
11/13/2011,12,1
11/14/2011,10,1
11/15/2011,10,1
11/16/2011,13,1
11/17/2011,19,1
11/18/2011,22,0
11/19/2011,18,1
11/20/2011,16,1
11/21/2011,16,1
11/22/2011,15,1
11/23/2011,15,0
11/24/2011,17,0
11/25/2011,15,0
11/26/2011,13,0
11/27/2011,15,0
11/28/2011,16,0
11/29/2011,17,0
11/30/2011,21,0
12/1/2011,23,0
12/2/2011,23,0
12/3/2011,22,0
12/4/2011,20,0
12/5/2011,21,0
12/6/2011,22,0
12/7/2011,22,0
12/8/2011,27,0
12/9/2011,26,0
12/10/2011,27,0
12/11/2011,28,0
12/12/2011,26,0
12/13/2011,23,0
12/14/2011,19,0
12/15/2011,17,0
12/16/2011,21,0
12/17/2011,24,0
12/18/2011,26,0
12/19/2011,23,0
12/20/2011,22,0
12/21/2011,19,0
12/22/2011,19,0
12/23/2011,23,0
12/24/2011,26,0
12/25/2011,25,0
12/26/2011,23,0
12/27/2011,23,0
12/28/2011,24,0
12/29/2011,24,0
12/30/2011,20,0
12/31/2011,18,0
1/1/2012,18,0
1/2/2012,25,0
1/3/2012,31,0
1/4/2012,29,0
1/5/2012,24,0
1/6/2012,19,0
1/7/2012,19,0
1/8/2012,21,0
1/9/2012,22,0
1/10/2012,21,0
1/11/2012,21,0
1/12/2012,24,0
1/13/2012,29,0
1/14/2012,30,0
1/15/2012,31,0
1/16/2012,27,0
1/17/2012,23,0
1/18/2012,28,0
1/19/2012,30,0
1/20/2012,30,0
1/21/2012,28,0
1/22/2012,26,0
1/23/2012,22,0
1/24/2012,20,0
1/25/2012,21,0
1/26/2012,19,0
1/27/2012,18,0
1/28/2012,23,0
1/29/2012,23,0
1/30/2012,22,0
1/31/2012,17,0
2/1/2012,15,0
2/2/2012,18,0
2/3/2012,21,0
2/4/2012,21,0
2/5/2012,23,0
2/6/2012,23,0
2/7/2012,22,0
2/8/2012,25,0
2/9/2012,25,0
2/10/2012,25,0
2/11/2012,30,0
2/12/2012,34,0
2/13/2012,30,0
2/14/2012,26,0
2/15/2012,22,0
2/16/2012,21,0
2/17/2012,20,0
2/18/2012,22,0
2/19/2012,24,0
2/20/2012,24,0
2/21/2012,22,0
2/22/2012,16,0
2/23/2012,15,1
2/24/2012,18,1
2/25/2012,24,0
2/26/2012,24,0
2/27/2012,22,0
2/28/2012,20,1
2/29/2012,18,1
3/1/2012,17,1
3/2/2012,18,1
3/3/2012,19,1
3/4/2012,21,0
3/5/2012,22,0
3/6/2012,20,0
3/7/2012,15,0
3/8/2012,13,1
3/9/2012,18,0
3/10/2012,20,0
3/11/2012,16,0
3/12/2012,11,0
3/13/2012,8,1
3/14/2012,7,1
3/15/2012,7,2
3/16/2012,7,2
3/17/2012,7,2
3/18/2012,8,2
3/19/2012,7,2
3/20/2012,7,2
3/21/2012,6,2
3/22/2012,5,2
3/23/2012,5,1
3/24/2012,7,1
3/25/2012,9,1
3/26/2012,12,1
3/27/2012,13,1
3/28/2012,9,1
3/29/2012,10,1
3/30/2012,11,2
3/31/2012,11,2
4/1/2012,10,2
4/2/2012,10,3
4/3/2012,9,2
4/4/2012,9,2
4/5/2012,12,1
4/6/2012,14,1
4/7/2012,13,1
4/8/2012,13,0
4/9/2012,10,1
4/10/2012,12,1
4/11/2012,15,1
4/12/2012,14,1
4/13/2012,13,1
4/14/2012,10,1
4/15/2012,5,2
4/16/2012,5,2
4/17/2012,7,2
4/18/2012,8,1
4/19/2012,6,1
4/20/2012,6,1
4/21/2012,7,2
4/22/2012,10,1
4/23/2012,11,1
4/24/2012,10,1
4/25/2012,7,1
4/26/2012,8,2
4/27/2012,10,2
4/28/2012,11,2
4/29/2012,9,3
4/30/2012,7,3
5/1/2012,5,4
5/2/2012,4,5
5/3/2012,4,6
5/4/2012,3,5
5/5/2012,4,5
5/6/2012,4,5
5/7/2012,4,3
5/8/2012,4,3
5/9/2012,4,3
5/10/2012,5,2
5/11/2012,5,2
5/12/2012,4,2
5/13/2012,3,2
5/14/2012,2,2
5/15/2012,1,3
5/16/2012,2,4
5/17/2012,3,3
5/18/2012,3,3
5/19/2012,2,4
5/20/2012,1,5
5/21/2012,2,4
5/22/2012,2,4
5/23/2012,1,5
5/24/2012,2,6
5/25/2012,2,7
5/26/2012,2,8
5/27/2012,2,9
